time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,5.6,,,,,0.1,,,0.6,,0.1,,0.3,0.1,,1.2,0.7,,0.1,,,0.1,0.1,, 
10,12.5,,0.4,0.1,0.3,0.3,0.3,0.1,1.8,0.4,0.3,,0.1,0.1,0.1,0.5,2.2,0.3,0.4,0.3,0.4,0.3,0.4,,0.2 
20,6.4,0.1,0.2,0.3,0,0.2,0.1,0.2,0.6,0.2,0.2,0.3,0,0.7,0.3,0,0.1,0.3,0.4,0.2,0.2,1.3,0.4,0.1,0.1 
30,1.1,0.2,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0.2,0.1 
40,3.6,0.1,0,0,0,0,0,0.1,0.2,0,0,0,0.1,0,0,1.1,0.3,0,0.2,0,0,0,0.2,0.1,0 
50,24.8,0,0.6,0,0.6,0.4,0,0.4,3.1,0.6,0.3,0,0.5,0.6,0,2.6,3.5,0.3,0.6,0.3,0.8,1,0.6,0,0.4 
60,18.9,0.4,0.9,0.6,0.6,0,0.7,0.6,2.5,0.9,0.1,0.4,0.2,0.7,0.7,0.1,2,0.1,0.5,0.8,0.8,1.6,0.5,0.4,0.7 
70,4.9,0.3,0.5,0.2,0.1,0.1,0.1,0.2,0.2,0.5,0.1,0.4,0,0.1,0.1,0,0.2,0.1,0.1,0.6,0.4,0.2,0.1,0.3,0.2 
80,4,0.1,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,1.5,0.1,0,0,0.3,0,0,0,0.1,0 
90,35.3,0,0.5,0.1,0.7,0.5,0.2,0.2,4.1,0.5,0.4,0.1,0.7,0.2,0.1,3.9,5.5,0.2,1,0.1,0.6,0.5,1,0,0.4 
100,47.5,0.6,2,0.8,0.8,0.6,1,0.6,6.9,2,0.7,0.5,0.4,2,1.1,1.2,5.9,0.8,2.2,1.5,2.2,3.5,2.2,0.6,1 
110,16.2,0.5,0.7,0.3,0.5,0.2,0.1,0.9,1,0.7,0.2,0.5,0,1.8,0,0,0.5,0.3,0.9,1.3,0.5,3.6,0.9,0.5,0.6 
120,2.1,0.1,0.1,0.1,0,0,0,0.3,0,0.1,0,0.2,0,0.1,0.1,0,0,0,0,0.4,0,0.6,0,0.1,0 
130,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0 
140,39.1,0,0.1,0,0.3,0.1,0.4,0,3.2,0.1,0.1,0,2.3,0.3,0.1,7,5.4,0.1,0.9,0,0.3,0.7,0.9,0,0.3 
150,105,0.4,3.3,1.3,2,1.8,1.9,0.7,14.1,3.3,1.4,0.8,1.1,2.8,1.5,7.1,14.3,0.9,3.6,1.9,3.7,6.3,3.6,0.4,1.4 
160,51.9,1.9,3.2,1.6,1.7,0.8,0.8,2.5,5.8,3.2,1.2,1.8,0,2.5,1.4,0,3.7,1.7,1.5,3.7,2.7,4.2,1.5,1.9,2.3 
170,8.9,0.6,0.6,0.5,0.2,0,0.3,0.7,0.5,0.6,0,0.7,0,0.5,0.4,0,0.2,0,0.1,1.2,0.5,1,0.1,0.6,0.2 
180,1.3,0.5,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0.5,0 
190,72.6,0,0.5,0,0.1,0.2,0.1,0,5.9,0.5,0,0,2.5,0.2,0,14.2,9.8,0,1.5,0.1,0.8,0.9,1.5,0,0 
200,189.5,0.2,4.4,1,4.9,2.3,2.4,2.3,25.2,4.4,2.1,0.5,1.1,7.3,1.8,11.7,26.1,1.8,9.3,2.8,5.3,14,9.3,0.2,3.7 
210,97.2,1.7,6.4,2.1,3,1.3,1,4.3,12.3,6.4,1.7,1.9,0,6.1,1.7,0,7.9,1.7,3.2,5.2,6.3,11.6,3.2,1.8,4 
220,20.4,1.4,1.9,0.5,0.7,0.2,0.1,1.6,0.4,1.9,0.2,1.2,0,0.7,0.1,0,0,0.5,0.3,4.6,0.8,2.1,0.3,1.3,0.9 
230,1.4,0.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0.1 
240,126.3,0,0.6,0,1.1,0.5,0.2,0,8.7,0.6,0.2,0,4.3,0.8,0.1,25.7,16.9,0.1,2.3,0.1,0.7,1.2,2.3,0,0.1 
250,376.1,1.4,10.7,2.5,7.9,3.7,4.2,4.4,52.4,10.7,3.5,1.8,4.7,9.3,3.4,26.7,53.7,2.6,14.6,5.9,13.3,18.6,14.6,1.4,7.4 
260,220.9,3,12.5,4.4,7.2,3.3,4.2,8.1,26.2,12.5,3.6,2.9,0,14.1,4.5,0,18.1,4.2,9.7,14,11.4,27.5,9.7,3,7.8 
270,49.1,3.5,3.5,2.1,1,0.3,0.4,4.4,1.5,3.5,0.5,3.8,0,3.3,1,0,0.2,0.9,0.9,6.1,1.9,7.4,0.9,3.5,1.9 
280,3.8,1.1,0.1,0,0,0,0,0.3,0.1,0.1,0,0.5,0,0,0,0,0,0,0,1.2,0.1,0.3,0,1.1,0 
