time,session 
10,3990.7269250025984 
20,4639.632889164173 
30,647.8641407707997 
40,0.0 
50,1903.0116932248395 
60,3086.361679939111 
70,4340.257281632103 
80,2495.2221365003456 
90,0.0 
100,1756.1940723357025 
110,3265.327081952548 
120,3923.2671646417343 
130,2518.9890475117536 
140,0.0 
150,1868.3305468806295 
160,3745.4584566078734 
170,4221.623439578668 
180,4232.006007220938 
190,5150.006000000001 
200,2089.066530044043 
210,3638.1668470631917 
220,4235.807994050809 
230,4555.109553986062 
240,0.0 
250,2398.808947815738 
260,3952.9881553920018 
270,4505.031678308685 
280,4547.6776441000675 
290,4367.774642135212 
300,1293.863302935349 
310,3044.190197888008 
320,4228.0556538862675 
330,4285.8891452158905 
340,3879.04521029782 
350,3800.8805862880336 
360,0 
370,0 
380,2133.382120700395 
390,3590.4123277594713 
400,4422.576416925966 
410,4042.6311247188905 
420,4096.450556563153 
430,2984.743480515127 
440,0 
450,1415.965334799287 
460,3631.152385820016 
470,3643.3997562756385 
480,4136.037569742322 
490,4192.270506247801 
500,3808.7858072370354 
510,2614.5660216183082 
517,2109.288999999997 
