time,freemem@tsung_controller@ip-172-31-31-91 
0,375576.0390625 
10,375576.0390625 
20,375576.0390625 
30,375576.0390625 
40,375576.0390625 
50,375576.0390625 
60,375576.0390625 
70,375576.0390625 
80,375576.0390625 
90,375576.0390625 
100,375576.0390625 
110,375576.0390625 
120,375576.0390625 
130,375576.0390625 
140,375576.0390625 
150,375576.0390625 
160,375576.0390625 
170,375576.0390625 
180,375576.0390625 
190,375576.0390625 
200,375576.0390625 
210,375576.0390625 
220,375576.0390625 
230,375576.0390625 
240,375576.0390625 
250,375576.0390625 
260,375576.0390625 
270,375576.0390625 
280,375576.0390625 
290,375576.0390625 
300,375576.0390625 
310,375576.0390625 
320,375576.0390625 
330,375576.0390625 
340,375576.0390625 
350,375576.0390625 
360,375576.0390625 
370,375576.0390625 
380,375576.0390625 
390,375576.0390625 
400,375576.0390625 
410,375576.0390625 
420,375576.0390625 
430,375576.0390625 
440,375576.0390625 
450,375576.0390625 
460,375576.0390625 
470,375576.0390625 
480,375576.0390625 
490,375576.0390625 
500,375576.0390625 
510,375576.0390625 
517,375576.0390625 
