time,request,connect 
0,7.024,0.834 
10,4.548,0.834 
20,4.548,0.834 
30,4.548,0.834 
40,4.548,0.834 
50,4.548,0.834 
60,4.548,0.834 
70,4.548,0.765 
80,4.548,0.765 
90,4.548,0.765 
100,4.548,0.765 
110,4.484,0.765 
120,4.238,0.765 
130,4.238,0.765 
140,4.238,0.765 
150,4.204,0.642 
160,4.204,0.633 
170,3.898,0.633 
180,3.898,0.633 
190,3.898,0.633 
200,3.898,0.525 
210,3.872,0.509 
220,3.665,0.509 
230,3.665,0.509 
240,3.665,0.509 
250,3.665,0.509 
260,3.515,0.449 
270,3.515,0.449 
280,3.515,0.449 
290,3.515,0.449 
300,3.515,0.449 
310,3.515,0.449 
320,3.122,0.443 
330,3.122,0.443 
340,3.122,0.443 
350,3.122,0.443 
360,3.122,0.443 
370,3.122,0.443 
380,3.122,0.443 
390,3.122,0.353 
400,3.122,0.353 
410,3.122,0.353 
420,3.122,0.353 
430,3.122,0.353 
440,3.122,0.353 
450,3.122,0.353 
460,3.122,0.353 
470,0.328,0.33 
480,0.307,0.33 
490,0.307,0.33 
500,0.307,0.33 
510,0.307,0.33 
520,0.307,0.33 
526,0.307,0.33 
