time,sentpackets@tsung_controller@ip-172-31-31-91 
10,224 
20,454.0 
30,204.0 
40,39.0 
50,193.0 
60,5.0 
70,434.0 
80,921.0 
90,483.0 
100,54.0 
110,321.0 
120,1631.0 
130,1359.0 
140,312.0 
150,74.0 
160,1743.0 
170,3210.0 
180,1225.0 
190,276.0 
200,16.0 
210,4129.0 
220,7292.0 
230,3304.0 
240,515.0 
250,120.0 
260,2827.0 
270,13353.0 
280,11066.0 
290,3633.0 
300,562.0 
310,68.0 
320,15385.0 
330,29332.0 
340,15948.0 
350,2635.0 
360,365.0 
370,207.0 
380,13.0 
390,11653.0 
400,56512.0 
410,60970.0 
420,18583.0 
430,2075.0 
440,213.0 
450,20.0 
460,406.0 
470,61890.0 
480,94992.0 
490,112558.0 
500,91044.0 
510,7269.0 
520,409.0 
526,12.0 
