time,sentpackets@tsung_controller@ip-172-31-31-91 
10,196 
20,436.0 
30,245.0 
40,70.0 
50,24.0 
60,579.0 
70,951.0 
80,291.0 
90,138.0 
100,400.0 
110,1494.0 
120,1560.0 
130,493.0 
140,97.0 
150,2201.0 
160,3825.0 
170,1952.0 
180,300.0 
190,39.0 
200,4052.0 
210,8249.0 
220,4609.0 
230,796.0 
240,119.0 
250,2553.0 
260,13998.0 
270,13883.0 
280,4809.0 
290,589.0 
300,315.0 
310,6105.0 
320,29425.0 
330,31336.0 
340,9266.0 
350,1232.0 
360,58.0 
370,611.0 
380,1439.0 
390,36541.0 
400,61030.0 
410,43355.0 
420,27081.0 
430,8556.0 
440,1189.0 
450,276.0 
452,9.0 
