time,request,connect 
0,130.008,13.32 
10,137.267,13.32 
20,137.267,13.32 
30,137.267,13.32 
40,137.267,13.32 
50,137.267,13.32 
60,231.418,13.32 
70,231.418,13.32 
80,231.418,24.95 
90,231.418,24.95 
100,250.887,24.95 
110,250.887,24.95 
120,250.887,24.95 
130,250.887,24.95 
140,266.923,24.95 
150,266.923,24.95 
160,266.923,24.95 
170,266.923,24.95 
180,266.923,24.95 
190,266.923,28.616 
200,266.923,28.616 
210,266.923,28.616 
220,266.923,28.616 
230,266.923,28.616 
240,497.464,28.616 
250,2489.879,28.616 
260,2489.879,28.616 
270,2489.879,28.616 
280,2489.879,28.616 
290,2489.879,28.616 
300,5003.141,28.616 
310,7957.681,28.616 
320,12609.905,28.616 
330,18220.651,28.616 
340,18587.674,28.616 
350,18587.674,28.616 
360,18587.674,28.616 
