time,session 
0,4475.985 
10,10670.274200000002 
20,16529.90307142857 
30,27645.603799999993 
40,6528.601333333333 
50,12953.994 
60,15660.710157894739 
70,21214.96930769231 
80,27456.148 
90,9335.9275 
100,12263.678959183675 
110,17279.511555555553 
120,27472.042000000005 
130,33378.467 
140,9028.239736842108 
150,13166.895530612239 
160,18080.05439325844 
170,26201.788904761906 
180,32662.74125 
190,8709.936244444443 
200,12927.033661616164 
210,18601.715710982655 
220,25890.548538461535 
230,36287.134000000005 
240,6416.538875 
250,11278.725650246302 
260,15428.678400402412 
270,22319.548662037047 
280,30694.35067647059 
290,39396.682499999995 
300,9670.28729166667 
310,16226.223101694919 
320,22615.07946860467 
330,28044.364732348127 
340,35990.0791262136 
350,49297.2125 
360,54916.667 
