time,request,connect 
0,51.24064814814815,4.17564705882353 
10,328.9220937499998,11.748 
20,1281.637418918919,0 
30,2364.332105263158,0 
40,5115.577266666666,0 
50,990.5840000000001,0 
60,95.35203448275857,3.8718235294117647 
70,109.82789855072467,3.246186046511629 
80,248.91609677419365,0 
90,980.3774090909089,0 
100,6861.085312500001,0 
110,7042.214631578948,0 
120,5727.505615384614,0 
130,769.8507702702706,1.5440312499999997 
140,196.89006176470576,3.423543209876542 
150,166.04061538461542,0.8970000000000001 
160,399.5199416058397,0 
170,3354.48131372549,0 
180,17256.95804166667,0 
190,17775.949625000005,0 
200,16579.998272727273,0 
210,19717.615333333335,0 
220,24516.03188888889,0 
230,15363.98969230769,0 
240,26784.95533333333,0 
250,31256.811999999994,0 
256,27596.28863157895,0 
