time,size_sent,size_rcv 
0,17.2953125,203.18671875 
10,52.4921875,782.0046875 
20,23.265625,446.45703125 
30,7.11328125,110.18515625 
40,65.415625,504.10546875 
50,110.27890625,1477.13359375 
60,30.19296875,390.45 
70,4.8,19.628125 
80,38.79921875,191.10078125 
90,181.56171875,1646.5125 
100,142.79609375,2243.2953125 
110,36.92421875,590.0671875 
120,5.21796875,96.7421875 
130,79.22421875,522.8703125 
140,247.12734375,1057.25859375 
150,267.26875,3127.6140625 
160,249.8453125,6567.28203125 
170,55.4625,1194.73359375 
180,18.38671875,210.48515625 
190,274.60859375,905.21875 
200,570.17734375,1963.3390625 
210,411.35234375,4646.896875 
220,249.0421875,5337.8703125 
230,53.31640625,1065.0703125 
240,2.52265625,11.47421875 
249,1.821875,5.4140625 
