time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,38.74080851063829,,,,,,,,19.741,,,,,29.732,,15.498333333333335,2809.6443750000003,,24.1955,,29.9,80.51050000000001,80.6115,, 
10,40.81978688524588,,13.55775,,9.1545,8.879999999999999,,,20.290312499999995,14.9765,6.953,,,15.000285714285715,,19.928,2413.6281999999997,133.509,14.107,13.536,30.174,86.08681818181817,81.22466666666666,, 
20,44.39668000000002,,12.51125,,8.62,8.126,,45.239666666666665,19.129333333333335,14.0275,5.219,,,14.6795,,0,7293.7029999999995,126.5485,49.69,15.095666666666666,27.381500000000003,76.71000000000001,83.085,,92.03866666666666 
30,30.9755,,11.95,,0,9.312,,0,18.799,13.82,5.721,,,14.402,,16.128,0,125.734,0,14.172333333333334,26.696,69.416,0,,0 
40,49.414708333333316,,104.827,29.044,16.634999999999998,9.722000000000001,11.776,25.627,34.087777777777774,18.421666666666667,11.947,25.781,15.533199999999999,14.702,24.0455,35.64950000000001,2964.7884166666663,283.58,20.705000000000002,14.485,34.59325,84.55633333333333,115.22833333333335,42.065,17.221 
50,46.91731199999996,28.05666666666667,26.212571428571426,60.60359999999999,9.943999999999999,9.024000000000001,9.29525,26.97866666666667,28.39845454545453,20.958428571428573,5.8100000000000005,23.899,14.869666666666667,18.443428571428573,41.42775,37.10987499999999,4101.624966666666,136.898,21.1836,14.849,33.79964285714286,109.67988235294118,112.25999999999999,65.7015,11.244 
60,27.007738461538462,24.177,12.973833333333332,25.59,8.368666666666668,8.283,9.404,0,18.657666666666668,15.744500000000002,5.545,28.446,0,14.95875,22.6455,0,5551.772666666667,125.9345,0,13.487666666666668,26.715600000000002,71.20366666666666,0,37.1305,10.926 
70,43.891333333333336,33.338499999999996,0,0,0,0,0,25.9255,0,0,0,23.2315,0,0,0,0,0,126.469,0,13.575,0,0,0,38.9905,0 
80,39.946452830188676,23.579,0,0,0,0,0,26.535,18.903000000000002,0,0,39.711,15.510833333333336,0,0,16.862692307692306,2248.2312142857145,0,14.815,0,28.134,0,84.794,37.352,0 
90,129.59388764044925,0,72.83591666666668,399.6675,74.48110000000001,166.26666666666668,90.18400000000001,353.2676666666667,99.84105263157896,132.99599999999995,33.964666666666666,86.198,63.8057142857143,124.3405,56.07866666666666,131.71576744186044,3175.129913043478,265.9386666666667,52.78999999999999,84.66985714285714,75.08813333333335,350.8735,245.15673333333336,0,26.229888888888887 
100,68.61164838709674,30.0214,31.304437500000006,48.616285714285716,27.20445454545454,14.420285714285715,46.778,69.93207692307692,51.87144186046511,36.59686666666667,14.603500000000006,86.12133333333334,0,37.29635294117647,51.126,0,5217.618919999999,160.47775,26.258666666666667,21.64553333333333,43.37335714285714,165.7586285714286,173.18377777777778,47.5638,25.457545454545457 
110,34.95244303797469,25.815833333333334,13.185333333333334,26.970750000000002,0,0,14.405,27.284249999999997,19.1362,19.291,0,23.8052,0,15.264,44.624249999999996,0,15343.255,127.965,15.753,14.902818181818184,27.595599999999997,80.58357142857142,88.211,41.314166666666665,12.684 
120,36.64,24.2305,12.524,0,0,0,0,27.877,0,14.261,0,24.276,0,0,0,0,0,0,0,13.751000000000001,0,67.99199999999999,0,38.562,0 
130,212.63506451612906,0,16.087,0,59.522,623.588,0,0,181.3192307692308,27.527,0,0,190.3135,0,0,254.71737313432834,2114.92456,0,50.97133333333334,0,51.382,539.05,779.9556666666666,0,0 
140,1251.964752988048,0,1941.9126666666668,0,653.6111428571429,1342.7024999999999,947.1643333333333,3565.292,1853.1556111111115,1106.1599999999999,879.156,0,1410.9828333333335,1934.1323333333332,1685.8165,1326.4671857142857,5538.050965517242,752.613,1365.9479999999999,989.047,2967.7137777777775,3904.143666666667,3286.7635999999998,0,1651.9679999999998 
150,2215.5153333333333,0,1447.4637058823525,2708.4123333333328,1337.605772727273,1588.1595,1659.4217,3361.8917142857144,2388.9042537313435,1219.375105263158,1017.7375714285715,2443.14,0,1244.8591999999999,1572.7447142857143,3544.829,9112.835298245614,1107.2788,2040.8673529411763,2012.8632499999999,2450.4895384615384,3002.616388888888,4009.1979999999994,0,1533.096277777778 
160,902.4992697368438,830.067857142857,537.6395333333331,897.3848,319.447,406.275,509.48390909090904,1265.9295,958.0363947368427,464.7304761904762,269.509125,648.8325454545455,0,503.23770000000036,551.3470714285716,0,12185.414071428571,518.1756363636364,775.6161282051281,494.2436744186048,1432.0607142857148,1435.8686320754716,1986.1323636363632,1312.2633749999998,518.9157083333334 
170,44.30501769911506,26.748875,15.607666666666665,45.038000000000004,0,0,0,34.8084,23.643,17.381666666666664,6.61,28.191363636363636,0,14.778,34.003,0,0,131.233,0,16.363263157894732,27.934,86.95261538461537,0,38.37666666666667,11.654 
180,63.68472727272727,23.732,0,0,0,0,0,28.4465,0,0,0,23.337,16.085,14.632,0,60.222,839.4100000000001,0,0,13.262,0,71.53299999999999,0,36.973,0 
190,1246.4472637681147,0,0,0,924.9865,1137.528,0,0,1615.7359499999995,0,0.904,0,1762.7046538461543,0,0,1579.56775483871,4898.844562500001,0,429.39939999999996,0,0.653,0,929.6146666666667,0,0.569 
200,1253.1710280186803,0,438.6122083333333,795.5786666666668,1146.7131000000002,1346.7505384615383,1756.5936250000002,707.0946000000001,1259.9135624999994,350.9724444444443,768.7916842105262,0.888,2695.682933333332,155.23480952380956,1006.4868333333333,2232.80805681818,7059.093870748299,0.7602,424.1517735849055,473.6278571428572,868.6836041666669,1204.6177368421056,1474.6094262295085,0,391.37175000000013 
210,1896.2089178337985,2173.5443333333333,1179.3313220338978,1814.3298666666667,1352.0410294117646,1426.347833333333,1851.4445925925927,1661.861791666667,2041.9994285714288,1377.6413124999997,1488.2956086956517,1073.9565,0,868.2112037037039,1019.5301052631576,0,10278.199510204087,1304.4939130434782,1610.1961599999997,3006.9042162162173,2321.8567666666668,2520.416276190477,3489.3645277777778,1789.9776666666667,1476.3851212121215 
220,1933.9244619718281,818.1597037037036,1427.1898679245282,1828.667636363636,1291.6197142857145,1514.059,1682.4135714285715,2178.285151515151,2089.7507741935483,1324.1324666666665,1059.079375,1269.667304347826,0,928.5841052631582,1511.634882352941,0,14457.1626,1732.9802000000002,1691.5096428571426,2406.3544142857145,2648.2567941176467,2652.7247619047616,3437.50790909091,891.4123199999999,1232.3682000000003 
230,75.48914516129032,43.8762,8.956999999999999,3.5505,0,0,0,47.90541666666666,0,12.06811111111111,0,22.68383333333333,0,17.735400000000006,0,0,0,132.82666666666668,0,81.37964285714285,26.500500000000002,146.17496875,0,23.871333333333336,31.109 
240,52.9412,22.561,0,0,0,0,0,0,0,0,0,25.866,0,0,0,0,0,0,0,60.44733333333334,0,0,0,35.575,0 
249,11.780000000000001,3.36,0,0,0,0,0,25.607,0,0,0,4.592,0,0,0,0,0,0,0,0,0,0,0,2.369,0 
