time,users_count,finish_users_count 
0,21,0 
10,29,11 
20,29,25 
30,29,27 
40,70,29 
50,89,42 
60,89,76 
70,89,87 
80,121,89 
90,198,97 
100,209,154 
110,209,197 
120,209,209 
130,346,216 
140,449,280 
150,449,394 
160,449,440 
170,449,447 
180,449,449 
190,724,453 
200,916,580 
210,916,811 
220,916,900 
230,916,913 
240,1139,916 
250,1780,998 
260,1864,1398 
270,1864,1765 
280,1864,1848 
290,1864,1860 
300,1864,1864 
310,2889,1890 
320,3693,2324 
330,3693,3195 
340,3693,3486 
350,3693,3541 
360,3693,3570 
370,3693,3640 
380,3693,3685 
390,3693,3692 
396,3693,3693 
