time,request,connect 
0,124.808,23.847 
10,202.898,23.847 
20,11026.278,23.847 
30,11038.174,23.847 
40,11038.174,23.847 
50,11038.174,23.847 
60,11038.174,23.847 
70,11038.174,23.847 
80,11635.234,23.847 
90,11635.234,23.847 
100,11635.234,23.847 
110,11635.234,23.847 
120,11635.234,23.847 
130,11635.234,23.847 
140,11635.234,23.847 
150,11635.234,23.847 
160,11635.234,23.847 
170,12144.866,23.847 
180,12245.22,23.847 
190,12245.22,23.847 
200,12245.22,23.847 
210,12245.22,23.847 
220,12245.22,23.847 
230,13206.559,23.847 
240,15190.974,23.847 
250,15190.974,23.847 
260,15190.974,23.847 
270,15190.974,23.847 
280,15190.974,23.847 
290,15190.974,23.847 
300,22234.908,23.847 
310,27575.905,23.847 
320,35238.566,23.847 
330,37702.505,23.847 
340,37702.505,23.847 
350,37702.505,23.847 
360,37702.505,23.847 
370,37702.505,23.847 
380,37702.505,23.847 
390,37702.505,23.847 
400,37702.505,23.847 
410,37702.505,23.847 
420,37702.505,23.847 
430,60044.308,23.847 
440,60057.646,23.847 
450,60060.463,23.847 
460,60060.463,23.847 
470,60060.463,23.847 
480,60060.463,23.847 
490,60060.463,31.89 
500,60060.463,31.89 
510,60060.463,31.89 
520,60060.463,31.89 
530,60060.463,31.89 
540,60060.463,31.89 
550,60060.463,31.89 
560,60060.463,31.89 
570,60060.463,31.89 
580,60060.463,31.89 
590,60060.463,31.89 
593,60060.463,31.89 
