time,freemem@tsung_controller@ip-172-31-29-147 
0,375584.2890625 
10,375578.89453125 
20,375565.63671875 
30,375562.53125 
40,375563.5390625 
50,375564.40625 
60,375561.83984375 
70,375543.73828125 
80,375545.37109375 
90,375556.0859375 
100,375555.5859375 
110,375546.44921875 
120,375507.15625 
130,375508.75 
140,375524.9921875 
150,375539.734375 
160,375473.19921875 
170,375446.03125 
180,375465.4296875 
190,375495.390625 
200,375499.8203125 
210,375500.68359375 
220,375499.55078125 
230,375385.1015625 
240,375347.1640625 
250,375364.66015625 
260,375455.640625 
270,375461.42578125 
280,375468.6953125 
290,375226.81640625 
300,375147.046875 
310,375189.28125 
320,375218.32421875 
330,375232.28125 
340,375318.4140625 
350,375408.484375 
360,375411.81640625 
370,375387.61328125 
380,374922.3671875 
390,374777.31640625 
400,374861.4453125 
410,374898.82421875 
420,374905.23046875 
430,374905.72265625 
440,374905.72265625 
450,374961.83203125 
460,375112.90234375 
470,375241.96875 
480,375291.9296875 
490,375199.9921875 
500,374394.76171875 
510,373713.6875 
520,373641.0703125 
530,373976.0 
540,374041.3046875 
550,374052.90625 
560,374066.6953125 
570,374124.76171875 
580,374337.703125 
590,374810.9765625 
593,375016.48828125 
