time,recvpackets@tsung_controller@ip-172-31-29-147 
10,321 
20,777 
30,777 
40,777 
50,777 
60,777 
70,777 
80,1985 
90,1985 
100,1985 
110,1985 
120,2670 
130,2670 
140,2670 
150,2670 
160,2670 
170,6088 
180,6316 
190,6316 
200,6316 
210,6316 
220,10624 
230,13221 
240,13221 
250,13221 
260,13221 
270,13221 
280,22858 
290,27742 
300,27742 
310,27742 
320,27742 
330,27742 
340,57016 
350,57016 
360,57016 
370,57016 
380,57016 
390,57016 
400,57016 
410,57016 
420,93398 
430,127320 
440,127320 
450,127320 
460,127320 
470,127320 
480,127320 
490,127320 
500,127320 
510,127320 
517,127320 
