time,session 
10,5138.924 
20,5138.924 
30,5138.924 
40,5138.924 
50,5138.924 
60,4926.456 
70,4926.456 
80,4926.456 
90,4926.456 
100,4926.456 
110,4926.456 
120,4926.456 
130,4926.456 
140,3835.652 
150,3835.652 
160,3835.652 
170,3835.652 
180,3835.652 
190,3637.535 
200,3637.535 
210,3637.535 
220,3637.535 
230,3637.535 
240,3637.535 
250,3347.106 
260,3347.106 
270,3347.106 
280,3347.106 
290,3347.106 
300,3347.106 
310,2698.35 
320,2698.35 
330,2698.35 
340,2698.35 
350,2698.35 
360,2698.35 
370,2698.35 
380,2698.35 
390,2698.35 
400,2645.362 
410,2645.362 
420,2645.362 
430,2645.362 
440,2645.362 
450,2645.362 
460,2645.362 
470,2645.362 
480,2645.362 
490,2645.362 
497,2645.362 
