time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,185.534,,,,,,,,57.832,,,,47.78,,,112.616,5547.238,,,,,,143.967,, 
10,304.124,,24.65,69.023,26.565,43.191,26.977,,57.832,56.93,43.215,,47.78,50.098,304.317,112.616,8605.573,167.753,37.304,69.32,65.664,150.761,143.967,,13.807 
20,304.124,107.682,55.038,98.898,50.205,43.191,26.977,95.062,57.832,57.987,43.215,108.603,47.78,50.098,304.317,112.616,10942.9,167.753,41.301,85.689,65.664,164.566,143.967,104.024,76.381 
30,304.124,107.682,55.038,98.898,50.205,43.191,26.977,95.062,63.01,57.987,43.215,108.603,47.78,50.098,304.317,112.616,16099.881,167.753,41.301,85.689,65.664,164.566,143.967,104.024,76.381 
40,304.124,107.682,55.038,98.898,50.205,43.191,26.977,95.062,63.01,57.987,43.215,108.603,47.78,50.098,304.317,112.616,16099.881,167.753,41.301,85.689,65.664,164.566,143.967,104.024,76.381 
50,304.124,107.682,55.038,98.898,50.205,43.191,34.849,95.062,63.01,57.987,43.215,108.603,47.78,50.098,304.317,112.616,16099.881,167.753,53.045,85.689,65.664,164.566,181.337,104.024,76.381 
60,405.628,116.351,55.038,131.159,50.205,43.191,35.377,95.062,63.01,57.987,43.215,108.603,47.78,50.098,405.766,112.616,16099.881,167.753,58.675,85.689,65.664,164.566,181.337,104.024,76.381 
70,405.628,116.351,55.038,131.159,50.205,43.191,35.377,95.062,63.01,57.987,43.215,108.603,47.78,50.098,405.766,112.616,16099.881,167.753,58.675,85.689,65.664,164.566,181.337,104.024,76.381 
80,405.628,116.351,55.038,131.159,50.205,43.191,35.377,95.062,63.01,57.987,43.215,108.603,47.78,50.098,405.766,112.616,16099.881,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
90,405.628,116.351,55.038,131.159,50.205,43.191,35.377,95.062,63.01,57.987,43.215,108.603,47.78,50.098,405.766,112.616,16099.881,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
100,577.379,116.351,73.081,131.159,50.205,43.191,35.377,95.062,63.01,57.987,43.215,108.603,47.78,50.098,577.764,112.616,16099.881,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
110,654.229,116.351,75.143,131.159,50.205,43.191,35.377,95.062,67.009,57.987,43.215,108.603,47.78,50.098,654.368,112.616,20365.398,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
120,654.229,116.351,75.143,131.159,50.205,43.191,35.377,95.062,67.009,57.987,43.215,108.603,47.78,50.098,654.368,112.616,20365.398,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
130,654.229,116.351,75.143,131.159,50.205,43.191,35.377,95.062,67.009,57.987,43.215,108.603,47.78,50.098,654.368,112.616,20365.398,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
140,736.874,116.351,75.143,131.159,50.205,43.191,35.377,95.062,67.009,57.987,43.215,108.603,47.78,50.098,737.015,128.755,20365.398,167.753,58.675,85.689,65.664,164.566,181.337,141.039,76.381 
