time,users,connected 
0,18,17 
10,29,4 
20,29,-13 
30,29,-7 
40,29,6 
50,45,37 
60,50,-20 
70,50,-16 
80,50,-8 
90,71,69 
100,97,11 
110,97,-58 
120,97,-19 
130,97,38 
140,189,144 
150,202,-74 
160,202,-89 
170,202,-20 
180,202,97 
190,390,290 
200,418,-152 
210,418,-197 
220,418,-35 
230,418,236 
240,769,514 
250,809,-304 
260,809,-341 
270,809,-90 
280,809,-17 
290,809,-3 
300,1002,958 
310,1602,452 
320,1602,-848 
330,1602,-347 
340,1602,-60 
350,1602,-29 
360,1602,-66 
370,1602,-52 
380,1602,-7 
390,2010,1966 
400,3255,777 
410,3255,-1626 
420,3255,-670 
430,3255,-83 
440,3255,-9 
450,3255,-3 
460,3255,-42 
470,3255,-163 
480,3255,-112 
490,3255,-31 
497,3255,-5 
