time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,209.263,199.591,209.011,,,57.192,,117.134, 
10,288.275,356.983,356.899,,,57.192,,271.244, 
20,450.665,605.123,14540.192,316.474,,235.817,14540.363,611.332,29.554 
30,656.544,605.123,22271.722,316.474,422.109,235.817,22271.843,799.971,485.46 
40,656.544,605.123,22271.722,316.474,422.109,235.817,22271.843,917.147,485.46 
50,656.544,605.123,22271.722,316.474,422.109,235.817,22271.843,917.147,485.46 
60,656.544,605.123,50844.4,316.474,422.109,235.817,50844.524,917.147,485.46 
70,656.544,605.123,60017.185,316.474,422.109,235.817,60017.319,917.147,485.46 
80,656.544,605.123,60017.185,316.474,422.109,235.817,60017.319,917.147,485.46 
90,656.544,605.123,60017.185,479.198,422.109,235.817,60017.319,917.147,485.46 
100,656.544,605.123,60017.185,479.198,422.109,235.817,60017.319,917.147,485.46 
110,656.544,605.123,60017.185,479.198,422.109,235.817,60017.319,917.147,485.46 
112,656.544,605.123,60017.185,479.198,422.109,235.817,60017.319,917.147,485.46 
