time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,0.5,1.2,2.8,,,0.6,,0.5, 
10,1.3,1.8,6.3,,,2,,1.2, 
20,2.7,2.8,10.7,0.1,,2.7,0.1,2.2,0.1 
30,1.5,0.2,4.9,0.1,0.2,0.7,0.1,2,0.1 
40,0,0,0.1,0,0,0,0,0.1,0 
50,0,0,0,0,0,0,0,0,0 
60,0,0,0.4,0.1,0.1,0,0.1,0,0.1 
70,0,0,3.3,0.9,0.3,0,1.2,0,0.9 
80,0,0,7.7,1.9,1.8,0,2.1,0,1.9 
90,0,0,9.6,2.5,2.5,0,2.1,0,2.5 
100,0,0,2.1,0.4,1,0,0.3,0,0.4 
110,0,0,0,0,0,0,0,0,0 
112,0,0,0.1,0,0.1,0,0,0,0 
