time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,185.0255,76.91236363636364,84.51266666666666,,,33.118,,72.5185, 
10,225.2318947368421,246.3505666666667,171.8252359550562,,,14.381173913043478,,194.515705882353, 
20,304.2866111111111,387.57814634146337,424.9797248322148,85.418,,21.391256410256403,21272.417,476.00303333333335,33.247 
30,301.3745789473684,396.498,338.1739661016947,0,769.829,29.780230769230773,0,522.4497272727274,0 
40,0,0,0,0,0,0,0,0,0 
50,0,0,0,0,0,0,0,0,0 
60,0,0,60033.242,0,0,0,60033.419,0,0 
70,44436.899,0,57407.87605555556,0,0,0,60007.032733333326,44401.2095,0 
80,48612.68,0,58642.475607142864,0,0,0,60005.191719999995,46625.816000000006,0 
90,60006.891,0,60004.7752368421,0,0,60003.908500000005,60004.89070967742,60004.94566666667,0 
100,0,0,0,0,0,0,0,0,0 
110,0,0,0,0,0,0,0,0,0 
120,0,0,0,0,0,0,0,0,0 
130,0,0,0,0,0,0,0,0,0 
140,0,0,60018.25416666667,0,0,0,60014.01500000001,60027.2375,0 
140,0,0,0,0,0,0,0,0,0 
